edition_a,section_a,edition_b,section_b,relation,method
1997-online-draft,14.23,1.0-errata-2014,14.23,changed,section-number
1997-online-draft,14.3,1.0-errata-2014,14.3,changed,section-number
1997-online-draft,14.4,1.0-errata-2014,14.4,changed,section-number
1997-online-draft,14.5,1.0-errata-2014,14.5,changed,section-number
1997-online-draft,14.6,1.0-errata-2014,14.6,changed,section-number
1997-online-draft,14.7,1.0-errata-2014,14.7,changed,section-number
1997-online-draft,14.8,1.0-errata-2014,14.8,changed,section-number
1997-online-draft,14.9,1.0-errata-2014,14.9,changed,section-number
1997-online-draft,15.1,1.0-errata-2014,15.1,changed,section-number
1997-online-draft,15.10,1.0-errata-2014,15.10,changed,section-number
1997-online-draft,15.11,1.0-errata-2014,15.11,changed,section-number
1997-online-draft,15.2,1.0-errata-2014,15.2,changed,section-number
1997-online-draft,15.3,1.0-errata-2014,15.3,changed,section-number
1997-online-draft,15.4,1.0-errata-2014,15.4,changed,section-number
1997-online-draft,15.5,1.0-errata-2014,15.5,changed,section-number
1997-online-draft,15.6,1.0-errata-2014,15.6,changed,section-number
1997-online-draft,15.7,1.0-errata-2014,15.7,changed,section-number
1997-online-draft,15.8,1.0-errata-2014,15.8,changed,section-number
1997-online-draft,15.9,1.0-errata-2014,15.9,changed,section-number
1997-online-draft,16.1,1.0-errata-2014,16.1,changed,section-number
1997-online-draft,16.10,1.0-errata-2014,16.10,changed,section-number
1997-online-draft,16.11,1.0-errata-2014,16.11,changed,section-number
1997-online-draft,16.12,1.0-errata-2014,16.12,changed,section-number
1997-online-draft,16.13,1.0-errata-2014,16.13,changed,section-number
1997-online-draft,16.14,1.0-errata-2014,16.14,changed,section-number
1997-online-draft,16.15,1.0-errata-2014,16.15,changed,section-number
1997-online-draft,16.2,1.0-errata-2014,16.2,changed,section-number
1997-online-draft,16.3,1.0-errata-2014,16.3,changed,section-number
1997-online-draft,16.4,1.0-errata-2014,16.4,changed,section-number
1997-online-draft,16.5,1.0-errata-2014,16.5,changed,section-number
1997-online-draft,16.6,1.0-errata-2014,16.6,changed,section-number
1997-online-draft,16.7,1.0-errata-2014,16.7,changed,section-number
1997-online-draft,16.8,1.0-errata-2014,16.8,changed,section-number
1997-online-draft,16.9,1.0-errata-2014,16.9,changed,section-number
1997-online-draft,17.1,1.0-errata-2014,17.1,changed,section-number
1997-online-draft,17.10,1.0-errata-2014,17.10,changed,section-number
1997-online-draft,17.11,1.0-errata-2014,17.11,changed,section-number
1997-online-draft,17.12,1.0-errata-2014,17.12,changed,section-number
1997-online-draft,17.13,1.0-errata-2014,17.13,changed,section-number
1997-online-draft,17.14,1.0-errata-2014,17.14,changed,section-number
1997-online-draft,17.15,1.0-errata-2014,17.15,changed,section-number
1997-online-draft,17.16,1.0-errata-2014,17.16,identical,section-number
1997-online-draft,17.17,1.0-errata-2014,17.17,changed,section-number
1997-online-draft,17.18,1.0-errata-2014,17.18,identical,section-number
1997-online-draft,17.19,1.0-errata-2014,17.19,changed,section-number
1997-online-draft,17.2,1.0-errata-2014,17.2,changed,section-number
1997-online-draft,17.20,1.0-errata-2014,17.20,changed,section-number
1997-online-draft,17.3,1.0-errata-2014,17.3,changed,section-number
1997-online-draft,17.4,1.0-errata-2014,17.4,changed,section-number
1997-online-draft,17.5,1.0-errata-2014,17.5,changed,section-number
1997-online-draft,17.6,1.0-errata-2014,17.6,changed,section-number
1997-online-draft,17.7,1.0-errata-2014,17.7,changed,section-number
1997-online-draft,17.8,1.0-errata-2014,17.8,changed,section-number
1997-online-draft,17.9,1.0-errata-2014,17.9,changed,section-number
1997-online-draft,18.1,1.0-errata-2014,18.1,changed,section-number
1997-online-draft,18.10,1.0-errata-2014,18.10,changed,section-number
1997-online-draft,18.11,1.0-errata-2014,18.11,changed,section-number
1997-online-draft,18.12,1.0-errata-2014,18.12,changed,section-number
1997-online-draft,18.13,1.0-errata-2014,18.13,changed,section-number
1997-online-draft,18.14,1.0-errata-2014,18.14,changed,section-number
1997-online-draft,18.15,1.0-errata-2014,18.15,changed,section-number
1997-online-draft,18.16,1.0-errata-2014,18.16,changed,section-number
1997-online-draft,18.17,1.0-errata-2014,18.17,changed,section-number
1997-online-draft,18.18,1.0-errata-2014,18.18,changed,section-number
1997-online-draft,18.19,1.0-errata-2014,18.19,changed,section-number
1997-online-draft,18.2,1.0-errata-2014,18.2,changed,section-number
1997-online-draft,18.20,1.0-errata-2014,18.20,changed,section-number
1997-online-draft,18.21,1.0-errata-2014,18.21,changed,section-number
1997-online-draft,18.22,1.0-errata-2014,18.22,changed,section-number
1997-online-draft,18.23,1.0-errata-2014,18.23,changed,section-number
1997-online-draft,18.24,1.0-errata-2014,18.24,changed,section-number
1997-online-draft,18.25,1.0-errata-2014,18.25,changed,section-number
1997-online-draft,18.26,1.0-errata-2014,18.26,changed,section-number
1997-online-draft,18.3,1.0-errata-2014,18.3,changed,section-number
1997-online-draft,18.4,1.0-errata-2014,18.4,changed,section-number
1997-online-draft,18.5,1.0-errata-2014,18.5,changed,section-number
1997-online-draft,18.6,1.0-errata-2014,18.6,changed,section-number
1997-online-draft,18.7,1.0-errata-2014,18.7,changed,section-number
1997-online-draft,18.8,1.0-errata-2014,18.8,changed,section-number
1997-online-draft,18.9,1.0-errata-2014,18.9,changed,section-number
1997-online-draft,19.1,1.0-errata-2014,19.1,identical,section-number
1997-online-draft,19.10,1.0-errata-2014,19.10,changed,section-number
1997-online-draft,19.11,1.0-errata-2014,19.11,changed,section-number
1997-online-draft,19.12,1.0-errata-2014,19.12,changed,section-number
1997-online-draft,19.13,1.0-errata-2014,19.13,changed,section-number
1997-online-draft,19.14,1.0-errata-2014,19.14,changed,section-number
1997-online-draft,19.15,1.0-errata-2014,19.15,changed,section-number
1997-online-draft,19.16,1.0-errata-2014,19.16,changed,section-number
1997-online-draft,19.17,1.0-errata-2014,19.17,changed,section-number
1997-online-draft,19.2,1.0-errata-2014,19.2,changed,section-number
1997-online-draft,19.3,1.0-errata-2014,19.3,changed,section-number
1997-online-draft,19.4,1.0-errata-2014,19.4,changed,section-number
1997-online-draft,19.5,1.0-errata-2014,19.5,changed,section-number
1997-online-draft,19.6,1.0-errata-2014,19.6,changed,section-number
1997-online-draft,19.7,1.0-errata-2014,19.7,changed,section-number
1997-online-draft,19.8,1.0-errata-2014,19.8,changed,section-number
1997-online-draft,19.9,1.0-errata-2014,19.9,changed,section-number
1997-online-draft,2.1,1.0-errata-2014,2.1,changed,section-number
1997-online-draft,2.10,1.0-errata-2014,2.10,changed,section-number
1997-online-draft,2.11,1.0-errata-2014,2.11,changed,section-number
1997-online-draft,2.12,1.0-errata-2014,2.12,changed,section-number
1997-online-draft,2.13,1.0-errata-2014,2.13,changed,section-number
1997-online-draft,2.14,1.0-errata-2014,2.14,changed,section-number
1997-online-draft,2.15,1.0-errata-2014,2.15,changed,section-number
1997-online-draft,2.16,1.0-errata-2014,2.16,changed,section-number
1997-online-draft,2.17,1.0-errata-2014,2.17,changed,section-number
1997-online-draft,2.18,1.0-errata-2014,2.18,changed,section-number
1997-online-draft,2.2,1.0-errata-2014,2.2,changed,section-number
1997-online-draft,2.3,1.0-errata-2014,2.3,changed,section-number
1997-online-draft,2.4,1.0-errata-2014,2.4,changed,section-number
1997-online-draft,2.5,1.0-errata-2014,2.5,changed,section-number
1997-online-draft,2.6,1.0-errata-2014,2.6,changed,section-number
1997-online-draft,2.7,1.0-errata-2014,2.7,changed,section-number
1997-online-draft,2.8,1.0-errata-2014,2.8,changed,section-number
1997-online-draft,2.9,1.0-errata-2014,2.9,changed,section-number
1997-online-draft,20.1,1.0-errata-2014,20.1,changed,section-number
1997-online-draft,21.1,1.0-errata-2014,21.1,changed,section-number
1997-online-draft,21.2,1.0-errata-2014,21.2,changed,section-number
1997-online-draft,21.3,1.0-errata-2014,21.3,changed,section-number
1997-online-draft,3.1,1.0-errata-2014,3.1,changed,section-number
1997-online-draft,3.10,1.0-errata-2014,3.10,changed,section-number
1997-online-draft,3.11,1.0-errata-2014,3.11,changed,section-number
1997-online-draft,3.12,1.0-errata-2014,3.12,changed,section-number
1997-online-draft,3.2,1.0-errata-2014,3.2,changed,section-number
1997-online-draft,3.3,1.0-errata-2014,3.3,changed,section-number
1997-online-draft,3.4,1.0-errata-2014,3.4,changed,section-number
1997-online-draft,3.5,1.0-errata-2014,3.5,changed,section-number
1997-online-draft,3.6,1.0-errata-2014,3.6,changed,section-number
1997-online-draft,3.7,1.0-errata-2014,3.7,changed,section-number
1997-online-draft,3.8,1.0-errata-2014,3.8,changed,section-number
1997-online-draft,3.9,1.0-errata-2014,3.9,changed,section-number
1997-online-draft,4.1,1.0-errata-2014,4.1,changed,section-number
1997-online-draft,4.10,1.0-errata-2014,4.10,changed,section-number
1997-online-draft,4.11,1.0-errata-2014,4.11,changed,section-number
1997-online-draft,4.12,1.0-errata-2014,4.12,changed,section-number
1997-online-draft,4.13,1.0-errata-2014,4.13,changed,section-number
1997-online-draft,4.14,1.0-errata-2014,4.14,changed,section-number
1997-online-draft,4.15,1.0-errata-2014,4.15,changed,section-number
1997-online-draft,4.16,1.0-errata-2014,4.16,changed,section-number
1997-online-draft,4.2,1.0-errata-2014,4.2,changed,section-number
