# irc #jbosnu 2005-06-02 tz=unknown source=jbosnu/2005_06/2005_06_02-02_22.txt format=undated
--:--:-- -- Connected.
--:--:-- -- cizr1 is now known as cizra.
--:--:-- -- tene_ is now known as tene.
--:--:-- -- tene_ is now known as tene.
--:--:-- -- selylacbes is now known as benjamn.
--:--:-- -- benjamn is now known as selylacbes.
--:--:-- -- benjamn is now known as selylacbes.
--:--:-- -- selylacbes is now known as benjamn.
--:--:-- -- benjamn is now known as selylacbes.
--:--:-- -- selylacbes is now known as benjamn.
--:--:-- -- Disconnected.
