title,state,path,current_version,current_source_id,versions,migrated_to
AllanBailey,current,tiki/AllanBailey.tiki,1,tiki=AllanBailey@current,2,AllanBailey
Allow BAI phrase to modify tense markers,current,tiki/Allow_BAI_phrase_to_modify_tense_markers.tiki,1,tiki=Allow_BAI_phrase_to_modify_tense_markers@current,2,Allow BAI phrase to modify tense markers
Allow forethought sumti tail connection,current,tiki/Allow_forethought_sumti_tail_connection.tiki,1,tiki=Allow_forethought_sumti_tail_connection@current,2,Allow forethought sumti tail connection
Allow free modifiers anywhere,current,tiki/Allow_free_modifiers_anywhere.tiki,1,tiki=Allow_free_modifiers_anywhere@current,2,Allow free modifiers anywhere
Allow tu'e...tu'u phrases as subsentences,current,tiki/Allow_tu'e%2E%2E%2Etu'u_phrases_as_subsentences.tiki,3,tiki=Allow_tu'e%2E%2E%2Etu'u_phrases_as_subsentences@current,3,Allow tu'e...tu'u phrases as subsentences
Alternate Orthographies,current,tiki/Alternate_Orthographies.tiki,12,tiki=Alternate_Orthographies@current,12,
AmericanNationalAnthem,current,tiki/AmericanNationalAnthem.tiki,1,tiki=AmericanNationalAnthem@current,2,AmericanNationalAnthem
An essay on gadri,current,tiki/An_essay_on_gadri.tiki,2,tiki=An_essay_on_gadri@current,2,An essay on gadri
And Rosta,current,tiki/And_Rosta.tiki,6,tiki=And_Rosta@current,5,And Rosta
Anglan,current,tiki/Anglan.tiki,4,tiki=Anglan@current,4,Anglan
Anglo-centrism,current,tiki/Anglo-centrism.tiki,1,tiki=Anglo-centrism@current,2,Anglo-centrism
Animated Lojban Logo,current,tiki/Animated_Lojban_Logo.tiki,4,tiki=Animated_Lojban_Logo@current,4,Animated Lojban Logo
Annotated machine grammar,current,tiki/Annotated_machine_grammar.tiki,5,tiki=Annotated_machine_grammar@current,4,Annotated machine grammar
Anonymous,current,tiki/Anonymous.tiki,2,tiki=Anonymous@current,2,Anonymous
Apollonian alphabet,current,tiki/Apollonian_alphabet.tiki,1,tiki=Apollonian_alphabet@current,2,Apollonian alphabet
Approved Erratum,current,tiki/Approved_Erratum.tiki,2,tiki=Approved_Erratum@current,3,Approved Erratum
Approved gismu Alterations,current,tiki/Approved_gismu_Alterations.tiki,30,tiki=Approved_gismu_Alterations@current,30,Approved gismu Alterations
Aprendendo,current,tiki/Aprendendo.tiki,1,tiki=Aprendendo@current,2,Aprendendo
Arabic Orthography,current,tiki/Arabic_Orthography.tiki,1,tiki=Arabic_Orthography@current,2,Arabic Orthography
Archery,current,tiki/Archery.tiki,1,tiki=Archery@current,2,Archery
Archived News,current,tiki/Archived_News.tiki,4,tiki=Archived_News@current,5,Archived News
Astronomy,current,tiki/Astronomy.tiki,9,tiki=Astronomy@current,9,Astronomy
Athelstan,current,tiki/Athelstan.tiki,2,tiki=Athelstan@current,3,Athelstan
Axiom of stratified comprehension--Mekso example,current,tiki/Axiom_of_stratified_comprehension--Mekso_example.tiki,14,tiki=Axiom_of_stratified_comprehension--Mekso_example@current,15,Axiom of stratified comprehension--Mekso example
BAI subclasses,current,tiki/BAI_subclasses.tiki,1,tiki=BAI_subclasses@current,2,BAI subclasses
BNF,current,tiki/BNF.tiki,2,tiki=BNF@current,3,BNF
BPFK,current,tiki/BPFK.tiki,4,tiki=BPFK@current,3,BPFK
BPFK 2003 Report,current,tiki/BPFK_2003_Report.tiki,1,tiki=BPFK_2003_Report@current,2,BPFK 2003 Report
BPFK Checkpoint: Aspect #1,current,tiki/BPFK_Checkpoint%3A_Aspect_%231.tiki,3,tiki=BPFK_Checkpoint%3A_Aspect_%231@current,3,
BPFK Checkpoint: BAI #1,current,tiki/BPFK_Checkpoint%3A_BAI_%231.tiki,2,tiki=BPFK_Checkpoint%3A_BAI_%231@current,3,
BPFK Checkpoint: Letterals #1,current,tiki/BPFK_Checkpoint%3A_Letterals_%231.tiki,4,tiki=BPFK_Checkpoint%3A_Letterals_%231@current,4,
BPFK Checkpoint: Magic Words #1,current,tiki/BPFK_Checkpoint%3A_Magic_Words_%231.tiki,3,tiki=BPFK_Checkpoint%3A_Magic_Words_%231@current,4,
BPFK Checkpoint: gadri #1,current,tiki/BPFK_Checkpoint%3A_gadri_%231.tiki,1,tiki=BPFK_Checkpoint%3A_gadri_%231@current,2,
BPFK Checkpoints,current,tiki/BPFK_Checkpoints.tiki,35,tiki=BPFK_Checkpoints@current,28,BPFK Checkpoints
BPFK Community Work,current,tiki/BPFK_Community_Work.tiki,22,tiki=BPFK_Community_Work@current,23,BPFK Community Work
BPFK Member: And Rosta,current,tiki/BPFK_Member%3A_And_Rosta.tiki,1,tiki=BPFK_Member%3A_And_Rosta@current,2,BPFK Member: And Rosta
BPFK Member: Arnt Johansen,current,tiki/BPFK_Member%3A_Arnt_Johansen.tiki,11,tiki=BPFK_Member%3A_Arnt_Johansen@current,12,BPFK Member: Arnt Johansen
BPFK Member: Craig Daniel,current,tiki/BPFK_Member%3A_Craig_Daniel.tiki,1,tiki=BPFK_Member%3A_Craig_Daniel@current,2,
BPFK Member: John Cowan,current,tiki/BPFK_Member%3A_John_Cowan.tiki,2,tiki=BPFK_Member%3A_John_Cowan@current,2,BPFK Member: John Cowan
BPFK Member: Jordan de Long,current,tiki/BPFK_Member%3A_Jordan_de_Long.tiki,1,tiki=BPFK_Member%3A_Jordan_de_Long@current,2,BPFK Member: Jordan de Long
BPFK Member: Jorge Llambias,current,tiki/BPFK_Member%3A_Jorge_Llambias.tiki,12,tiki=BPFK_Member%3A_Jorge_Llambias@current,13,BPFK Member: Jorge Llambias
BPFK Member: Nick Nicholas,current,tiki/BPFK_Member%3A_Nick_Nicholas.tiki,1,tiki=BPFK_Member%3A_Nick_Nicholas@current,2,BPFK Member: Nick Nicholas
BPFK Member: Pierre Abbat,current,tiki/BPFK_Member%3A_Pierre_Abbat.tiki,2,tiki=BPFK_Member%3A_Pierre_Abbat@current,2,BPFK Member: Pierre Abbat
BPFK Member: Robin Lee Powell,current,tiki/BPFK_Member%3A_Robin_Lee_Powell.tiki,1,tiki=BPFK_Member%3A_Robin_Lee_Powell@current,2,BPFK Member: Robin Lee Powell
BPFK Member: Theodore Alexander Reed,current,tiki/BPFK_Member%3A_Theodore_Alexander_Reed.tiki,4,tiki=BPFK_Member%3A_Theodore_Alexander_Reed@current,4,BPFK Member: Theodore Alexander Reed
BPFK Members,current,tiki/BPFK_Members.tiki,16,tiki=BPFK_Members@current,14,BPFK Members
BPFK Reauthorization,current,tiki/BPFK_Reauthorization.tiki,2,tiki=BPFK_Reauthorization@current,3,BPFK Reauthorization
BPFK Section: Abstractors,current,tiki/BPFK_Section%3A_Abstractors.tiki,13,tiki=BPFK_Section%3A_Abstractors@current,13,BPFK Section: Abstractors
BPFK Section: Anaphoric Pro-sumti,current,tiki/BPFK_Section%3A_Anaphoric_Pro-sumti.tiki,24,tiki=BPFK_Section%3A_Anaphoric_Pro-sumti@current,24,BPFK Section: Anaphoric Pro-sumti
BPFK Section: Aristotelean Abstractors,current,tiki/BPFK_Section%3A_Aristotelean_Abstractors.tiki,8,tiki=BPFK_Section%3A_Aristotelean_Abstractors@current,9,BPFK Section: Aristotelean Abstractors
BPFK Section: Aspect,current,tiki/BPFK_Section%3A_Aspect.tiki,58,tiki=BPFK_Section%3A_Aspect@current,41,BPFK Section: Aspect
BPFK Section: Aspect as of 24 May 2004,current,tiki/BPFK_Section%3A_Aspect_as_of_24_May_2004.tiki,1,tiki=BPFK_Section%3A_Aspect_as_of_24_May_2004@current,2,BPFK Section: Aspect as of 24 May 2004
BPFK Section: Attitudinal Modifiers,current,tiki/BPFK_Section%3A_Attitudinal_Modifiers.tiki,17,tiki=BPFK_Section%3A_Attitudinal_Modifiers@current,18,BPFK Section: Attitudinal Modifiers
BPFK Section: Attitudinal Specifiers,current,tiki/BPFK_Section%3A_Attitudinal_Specifiers.tiki,8,tiki=BPFK_Section%3A_Attitudinal_Specifiers@current,9,BPFK Section: Attitudinal Specifiers
BPFK Section: Ban on consonant-glide-vowel strings,current,tiki/BPFK_Section%3A_Ban_on_consonant-glide-vowel_strings.tiki,13,tiki=BPFK_Section%3A_Ban_on_consonant-glide-vowel_strings@current,14,BPFK Section: Ban on consonant-glide-vowel strings
BPFK Section: Case sumtcita,current,tiki/BPFK_Section%3A_Case_sumtcita.tiki,27,tiki=BPFK_Section%3A_Case_sumtcita@current,28,BPFK Section: Case sumtcita
BPFK Section: Case sumtcita as of 16 Jun 2005,current,tiki/BPFK_Section%3A_Case_sumtcita_as_of_16_Jun_2005.tiki,1,tiki=BPFK_Section%3A_Case_sumtcita_as_of_16_Jun_2005@current,2,BPFK Section: Case sumtcita as of 16 Jun 2005
BPFK Section: Causation sumtcita,current,tiki/BPFK_Section%3A_Causation_sumtcita.tiki,100,tiki=BPFK_Section%3A_Causation_sumtcita@current,101,BPFK Section: Causation sumtcita
BPFK Section: Causation sumtcita as of 16 Jun 2005,current,tiki/BPFK_Section%3A_Causation_sumtcita_as_of_16_Jun_2005.tiki,1,tiki=BPFK_Section%3A_Causation_sumtcita_as_of_16_Jun_2005@current,2,BPFK Section: Causation sumtcita as of 16 Jun 2005
BPFK Section: Compass Spatial,current,tiki/BPFK_Section%3A_Compass_Spatial.tiki,18,tiki=BPFK_Section%3A_Compass_Spatial@current,19,BPFK Section: Compass Spatial
BPFK Section: Contact Spatial,current,tiki/BPFK_Section%3A_Contact_Spatial.tiki,34,tiki=BPFK_Section%3A_Contact_Spatial@current,35,BPFK Section: Contact Spatial
BPFK Section: Dictionary Preface,current,tiki/BPFK_Section%3A_Dictionary_Preface.tiki,10,tiki=BPFK_Section%3A_Dictionary_Preface@current,11,BPFK Section: Dictionary Preface
BPFK Section: Digits,current,tiki/BPFK_Section%3A_Digits.tiki,12,tiki=BPFK_Section%3A_Digits@current,13,BPFK Section: Digits
BPFK Section: Digressives,current,tiki/BPFK_Section%3A_Digressives.tiki,36,tiki=BPFK_Section%3A_Digressives@current,37,BPFK Section: Digressives
BPFK Section: Directional Spatial,current,tiki/BPFK_Section%3A_Directional_Spatial.tiki,25,tiki=BPFK_Section%3A_Directional_Spatial@current,26,BPFK Section: Directional Spatial
BPFK Section: Discursives,current,tiki/BPFK_Section%3A_Discursives.tiki,44,tiki=BPFK_Section%3A_Discursives@current,45,BPFK Section: Discursives
BPFK Section: Distance,current,tiki/BPFK_Section%3A_Distance.tiki,31,tiki=BPFK_Section%3A_Distance@current,22,BPFK Section: Distance
BPFK Section: Epistemology sumtcita,current,tiki/BPFK_Section%3A_Epistemology_sumtcita.tiki,72,tiki=BPFK_Section%3A_Epistemology_sumtcita@current,73,BPFK Section: Epistemology sumtcita
BPFK Section: Epistemology sumtcita as of 16 Jun 2005,current,tiki/BPFK_Section%3A_Epistemology_sumtcita_as_of_16_Jun_2005.tiki,1,tiki=BPFK_Section%3A_Epistemology_sumtcita_as_of_16_Jun_2005@current,2,BPFK Section: Epistemology sumtcita as of 16 Jun 2005
BPFK Section: Erasures,current,tiki/BPFK_Section%3A_Erasures.tiki,21,tiki=BPFK_Section%3A_Erasures@current,22,BPFK Section: Erasures
BPFK Section: Evidentials,current,tiki/BPFK_Section%3A_Evidentials.tiki,18,tiki=BPFK_Section%3A_Evidentials@current,19,BPFK Section: Evidentials
BPFK Section: Formal Grammar,current,tiki/BPFK_Section%3A_Formal_Grammar.tiki,30,tiki=BPFK_Section%3A_Formal_Grammar@current,31,BPFK Section: Formal Grammar
BPFK Section: Formal Morphology,current,tiki/BPFK_Section%3A_Formal_Morphology.tiki,4,tiki=BPFK_Section%3A_Formal_Morphology@current,5,BPFK Section: Formal Morphology
BPFK Section: General Negators,current,tiki/BPFK_Section%3A_General_Negators.tiki,6,tiki=BPFK_Section%3A_General_Negators@current,7,BPFK Section: General Negators
BPFK Section: Gradiated Numbers,current,tiki/BPFK_Section%3A_Gradiated_Numbers.tiki,2,tiki=BPFK_Section%3A_Gradiated_Numbers@current,3,BPFK Section: Gradiated Numbers
BPFK Section: Grammatical Pro-sumti,current,tiki/BPFK_Section%3A_Grammatical_Pro-sumti.tiki,22,tiki=BPFK_Section%3A_Grammatical_Pro-sumti@current,23,BPFK Section: Grammatical Pro-sumti
BPFK Section: Grammatical Pro-sumti as of 25 Dec 2004,current,tiki/BPFK_Section%3A_Grammatical_Pro-sumti_as_of_25_Dec_2004.tiki,1,tiki=BPFK_Section%3A_Grammatical_Pro-sumti_as_of_25_Dec_2004@current,2,BPFK Section: Grammatical Pro-sumti as of 25 Dec 2004
BPFK Section: Hesitation,current,tiki/BPFK_Section%3A_Hesitation.tiki,7,tiki=BPFK_Section%3A_Hesitation@current,8,BPFK Section: Hesitation
BPFK Section: Hesitation as of 11 Feb 2005,current,tiki/BPFK_Section%3A_Hesitation_as_of_11_Feb_2005.tiki,1,tiki=BPFK_Section%3A_Hesitation_as_of_11_Feb_2005@current,2,BPFK Section: Hesitation as of 11 Feb 2005
BPFK Section: Highlight Discursives,current,tiki/BPFK_Section%3A_Highlight_Discursives.tiki,14,tiki=BPFK_Section%3A_Highlight_Discursives@current,15,BPFK Section: Highlight Discursives
BPFK Section: Indirect Referers,current,tiki/BPFK_Section%3A_Indirect_Referers.tiki,24,tiki=BPFK_Section%3A_Indirect_Referers@current,24,BPFK Section: Indirect Referers
BPFK Section: Inexact Numbers,current,tiki/BPFK_Section%3A_Inexact_Numbers.tiki,29,tiki=BPFK_Section%3A_Inexact_Numbers@current,30,BPFK Section: Inexact Numbers
BPFK Section: Intensifiers,current,tiki/BPFK_Section%3A_Intensifiers.tiki,37,tiki=BPFK_Section%3A_Intensifiers@current,38,BPFK Section: Intensifiers
BPFK Section: Intervals,current,tiki/BPFK_Section%3A_Intervals.tiki,35,tiki=BPFK_Section%3A_Intervals@current,36,BPFK Section: Intervals
BPFK Section: Irrealis Attitudinals,current,tiki/BPFK_Section%3A_Irrealis_Attitudinals.tiki,26,tiki=BPFK_Section%3A_Irrealis_Attitudinals@current,27,BPFK Section: Irrealis Attitudinals
BPFK Section: Linkargs,current,tiki/BPFK_Section%3A_Linkargs.tiki,31,tiki=BPFK_Section%3A_Linkargs@current,32,BPFK Section: Linkargs
BPFK Section: Logical Connectives,current,tiki/BPFK_Section%3A_Logical_Connectives.tiki,83,tiki=BPFK_Section%3A_Logical_Connectives@current,83,BPFK Section: Logical Connectives
BPFK Section: Logical Variables,current,tiki/BPFK_Section%3A_Logical_Variables.tiki,5,tiki=BPFK_Section%3A_Logical_Variables@current,6,BPFK Section: Logical Variables
BPFK Section: MEX,current,tiki/BPFK_Section%3A_MEX.tiki,84,tiki=BPFK_Section%3A_MEX@current,84,BPFK Section: MEX
BPFK Section: MEX Operators,current,tiki/BPFK_Section%3A_MEX_Operators.tiki,37,tiki=BPFK_Section%3A_MEX_Operators@current,38,BPFK Section: MEX Operators
BPFK Section: Mathematical Constants,current,tiki/BPFK_Section%3A_Mathematical_Constants.tiki,18,tiki=BPFK_Section%3A_Mathematical_Constants@current,19,BPFK Section: Mathematical Constants
BPFK Section: Miscellaneous Notes And To-Dos,current,tiki/BPFK_Section%3A_Miscellaneous_Notes_And_To-Dos.tiki,13,tiki=BPFK_Section%3A_Miscellaneous_Notes_And_To-Dos@current,14,BPFK Section: Miscellaneous Notes And To-Dos
BPFK Section: Modal Aspects,current,tiki/BPFK_Section%3A_Modal_Aspects.tiki,17,tiki=BPFK_Section%3A_Modal_Aspects@current,18,BPFK Section: Modal Aspects
BPFK Section: New cmavo Proposals,current,tiki/BPFK_Section%3A_New_cmavo_Proposals.tiki,12,tiki=BPFK_Section%3A_New_cmavo_Proposals@current,13,BPFK Section: New cmavo Proposals
BPFK Section: Non-Contact Spatial,current,tiki/BPFK_Section%3A_Non-Contact_Spatial.tiki,36,tiki=BPFK_Section%3A_Non-Contact_Spatial@current,37,BPFK Section: Non-Contact Spatial
BPFK Section: Non-logical Connectives,current,tiki/BPFK_Section%3A_Non-logical_Connectives.tiki,22,tiki=BPFK_Section%3A_Non-logical_Connectives@current,23,BPFK Section: Non-logical Connectives
BPFK Section: Nonce Connectives,current,tiki/BPFK_Section%3A_Nonce_Connectives.tiki,24,tiki=BPFK_Section%3A_Nonce_Connectives@current,25,BPFK Section: Nonce Connectives
BPFK Section: Nonce Connectives as of 11 Feb 2005,current,tiki/BPFK_Section%3A_Nonce_Connectives_as_of_11_Feb_2005.tiki,1,tiki=BPFK_Section%3A_Nonce_Connectives_as_of_11_Feb_2005@current,2,BPFK Section: Nonce Connectives as of 11 Feb 2005
BPFK Section: Numeric Tense,current,tiki/BPFK_Section%3A_Numeric_Tense.tiki,28,tiki=BPFK_Section%3A_Numeric_Tense@current,29,BPFK Section: Numeric Tense
BPFK Section: Numeric selbri,current,tiki/BPFK_Section%3A_Numeric_selbri.tiki,22,tiki=BPFK_Section%3A_Numeric_selbri@current,22,BPFK Section: Numeric selbri
BPFK Section: Opinionated Gripes,current,tiki/BPFK_Section%3A_Opinionated_Gripes.tiki,15,tiki=BPFK_Section%3A_Opinionated_Gripes@current,12,BPFK Section: Opinionated Gripes
BPFK Section: PEG Morphology Algorithm,current,tiki/BPFK_Section%3A_PEG_Morphology_Algorithm.tiki,137,tiki=BPFK_Section%3A_PEG_Morphology_Algorithm@current,138,BPFK Section: PEG Morphology Algorithm
BPFK Section: Pedagogical Tags,current,tiki/BPFK_Section%3A_Pedagogical_Tags.tiki,7,tiki=BPFK_Section%3A_Pedagogical_Tags@current,8,BPFK Section: Pedagogical Tags
BPFK Section: Personal Pro-sumti,current,tiki/BPFK_Section%3A_Personal_Pro-sumti.tiki,24,tiki=BPFK_Section%3A_Personal_Pro-sumti@current,25,BPFK Section: Personal Pro-sumti
BPFK Section: Place Structure cmavo,current,tiki/BPFK_Section%3A_Place_Structure_cmavo.tiki,18,tiki=BPFK_Section%3A_Place_Structure_cmavo@current,19,BPFK Section: Place Structure cmavo
BPFK Section: Pro-bridi,current,tiki/BPFK_Section%3A_Pro-bridi.tiki,38,tiki=BPFK_Section%3A_Pro-bridi@current,39,BPFK Section: Pro-bridi
BPFK Section: Quantity sumtcita,current,tiki/BPFK_Section%3A_Quantity_sumtcita.tiki,22,tiki=BPFK_Section%3A_Quantity_sumtcita@current,23,BPFK Section: Quantity sumtcita
BPFK Section: Quantity sumtcita as of 16 Jun 2005,current,tiki/BPFK_Section%3A_Quantity_sumtcita_as_of_16_Jun_2005.tiki,1,tiki=BPFK_Section%3A_Quantity_sumtcita_as_of_16_Jun_2005@current,2,BPFK Section: Quantity sumtcita as of 16 Jun 2005
BPFK Section: Quotations,current,tiki/BPFK_Section%3A_Quotations.tiki,19,tiki=BPFK_Section%3A_Quotations@current,20,BPFK Section: Quotations
BPFK Section: Quotations as of 11 Feb 2005,current,tiki/BPFK_Section%3A_Quotations_as_of_11_Feb_2005.tiki,4,tiki=BPFK_Section%3A_Quotations_as_of_11_Feb_2005@current,2,BPFK Section: Quotations as of 11 Feb 2005
BPFK Section: Realis Attitudinals,current,tiki/BPFK_Section%3A_Realis_Attitudinals.tiki,51,tiki=BPFK_Section%3A_Realis_Attitudinals@current,52,BPFK Section: Realis Attitudinals
BPFK Section: Reference Regulators,current,tiki/BPFK_Section%3A_Reference_Regulators.tiki,16,tiki=BPFK_Section%3A_Reference_Regulators@current,17,BPFK Section: Reference Regulators
BPFK Section: Relational sumtcita,current,tiki/BPFK_Section%3A_Relational_sumtcita.tiki,36,tiki=BPFK_Section%3A_Relational_sumtcita@current,37,BPFK Section: Relational sumtcita
BPFK Section: Relational sumtcita as of 16 Jun 2005,current,tiki/BPFK_Section%3A_Relational_sumtcita_as_of_16_Jun_2005.tiki,1,tiki=BPFK_Section%3A_Relational_sumtcita_as_of_16_Jun_2005@current,2,BPFK Section: Relational sumtcita as of 16 Jun 2005
BPFK Section: Scope cmavo,current,tiki/BPFK_Section%3A_Scope_cmavo.tiki,9,tiki=BPFK_Section%3A_Scope_cmavo@current,10,BPFK Section: Scope cmavo
BPFK Section: Subordinators,current,tiki/BPFK_Section%3A_Subordinators.tiki,55,tiki=BPFK_Section%3A_Subordinators@current,56,BPFK Section: Subordinators
BPFK Section: Subordinators as of 25 Dec 2004,current,tiki/BPFK_Section%3A_Subordinators_as_of_25_Dec_2004.tiki,2,tiki=BPFK_Section%3A_Subordinators_as_of_25_Dec_2004@current,3,BPFK Section: Subordinators as of 25 Dec 2004
