{bacfendi} beyond+divide {batfendi} bite+divide
{sombra} sow+big {somca'a} sow+apparatus

{sormei} many-(of)+-some {sormre} many-(of)+measure

{spicru} piece+let {spiba'u} piece+utter

{spipi'a} piece+crust {spixra} piece+picture

{spofi'i} destroy+invent {spofriti} destroy+offer

{sraca'a} support+apparatus {rajma'a} vertical+mountain

{srake'a} support+cavity {rajyke'a} vertical+cavity

{srakevloi} support+cavity+floor {rajykevloi} vertical+cavity+floor

{sramudri} support+wood {rajymudri} vertical+wood

{srasirdra} support+straight+correct {rajysirdra} vertical+straight+correct

{srato'agri} support+tone+group {rajyto'agri} vertical+tone+group

{sratu'a} support+land {rajytu'a} vertical+land

{sratu'u} support+tube {rajytu'u} vertical+tube

{sricku} ribbon+book {lisycku} story+book

{sriku'a} ribbon+room {lisku'a} story+room

{srinuntoi} ribbon+event-of+try {lisnuntoi} story+event-of+try

