{bacfendi} beyond+divide {batfendi} bite+divide
{fagysisri'a} fire+seek+cause {fagystiri'a} fire+cease+cause

{falcu'i} fall+possible {falcru} fall+let

{fegycrugunta} angry+let+attack {fegba'ugunta} angry+utter+attack

{fintigni} invent+perform {frinytigni} fraction+perform

{fitfi'i} offer+invent {finfriti} invent+offer

{fitselsku} offer+2nd-place-of+express {finselsku} invent+2nd-place-of+express

{fomkencirla} foam+cancer+cheese {fomke'acirla} foam+cavity+cheese

{fonkasta'a} telephone+chaotic+talk {fonkanta'a} telephone+with+talk

{fracru} react+let {fraba'u} react+utter

{frecandre} fertile+sand+heap {frecande'u} fertile+sand+dirt

{gacki'e} gas+cushion {gairki'e} cover+cushion

{gacko'a} gas+corner {gairko'a} cover+corner

{gacri'a} gas+cause {gainri'a} cover+cause

{gairjai} cover+grasp {gairja'i} cover+adorn

{galxyjai} throat+grasp {galxyja'i} throat+adorn

{ganga'i} broad+modify {garga'i} rail+modify

{gangau} broad+do {gargau} rail+do

{gapydakcifnu} above+knife+infant {gacydaklycifnu} gas+sack+infant

{gapyvi'i} above+excrete {gacyvi'i} gas+excrete

{garcpare} rail+climb {gapcpare} above+climb

{gardzu} rail+walk {gapydzu} above+walk

{garkla} rail+come {gapkla} above+come

{garmu'e} rail+universe {gapmu'e} above+universe

{ge'atsi} grammar+seed {jgetsi} knot+seed

{geicru} happy+let {gerba'u} dog+utter

{gentinbe} grammar+obey {jgetinbe} knot+obey

{gercku} dog+book {gencku} grammar+book

{gersu'a} dog+structure {gensu'a} grammar+structure

{gersurfa'i} dog+relax+discover {genturfa'i} grammar+structure+discover

{gersurfi'a} dog+relax+fiction {genturcfi} grammar+structure+flaw

{gertro} dog+control {gletro} copulate+control

{gervlabi'o} dog+word+become {genvlabi'o} grammar+word+become

{gitko'i} guitar+cabbage {gitsko} guitar+cord

{glaroi} hot+time {glaro'i} hot+rock

{glecisma} copulate+smile {gekcisma} happy+smile

{glegau} copulate+do {geirgau} happy+do

{glemau} copulate+more {geizma} happy+more

{glepanpi} copulate+peace {gekpanpi} happy+peace

{gleri'a} copulate+cause {gekri'a} happy+cause

{glexe'o} copulate+kind {geirxe'o} happy+kind

{grebei} pass-through+carry {grebe'i} pass-through+transfer

{grecei} pass-through+god {grece'i} pass-through+tax

{gusybacybacka'u} llumine+beyond+beyond+quantum {i} 

{ja'itra} adorn+behave {jairtai} grasp+shape

{ja'orselpi'odegykamfa'a} show+2nd-place-of+piano+finger+quality-of+direc {tion} 

{jadba'u} adorn+utter {jairbandu} grasp+defend

{jadyxa'e} adorn+hand {jairxa'e} grasp+hand

{jaijme} grasp+gem {jadjme} adorn+gem

{jakmolsna} narrow+mouth+sound {jakmolsa'i} narrow+mouth+stand

{jalgauca'a} collide+do+apparatus {ja'urgauma'a} claw+do+mountain

{jangusmo'a} shoulder+illumine+pattern {jgagusmo'a} angle+illumine+pattern

{janrau} shoulder+unit {jgarau} angle+unit

{jauplu} water+island {jaclu'a} water+route

{jaurbe'i} water+transfer {jaurbei} water+carry

{jaurdreroi} water+heap+time {jaurde'uro'i} water+dirt+rock

{jaurgacri'a} water+gas+cause {jaurgairi'a} water+cover+cause

{jbetafxa'u} born+garment+dwell {jbetcaxa'u} born+city+dwell

{jbocru} Lojbanic+let {jboba'u} Lojbanic+utter

{jboselcru} Lojbanic+2nd-place-of+let {jboselba'u} Lojbanic+2nd-place-of+utter

{jbota'atcesnada} Lojbanic+talk+much+succeed {jbotavlicysnada} Lojbanic+talk+liter+succeed

{jditai} decide+shape {jditra} decide+behave

{je'icro} chase+pain {jesycro} needle+pain

{je'ispa} chase+plant {jesyspa} needle+plant

{jecpirzei} polity+picture+crime {jecyxaizei} polity+injure+crime

{jecyselxrazei} polity+2nd-place-of+picture+crime {jecyselxaizei} polity+2nd-place-of+injure+crime

{jgajukni} angle+spider {ja'urjukni} claw+spider

{jgici'i} pride+interesting {jgicki} pride+explain

{jgicu'u} pride+affair {jgicurnu} pride+worm

{jimdaxsa'e} metal+hit+stroke {jimdaxsna} metal+hit+sound

{jipso'a} ip+egg {t} 

{jivyci'o} opine+young {ji'icni} opine+emotion

{judytai} attentive+shape {ju'itra} attentive+behave

{jvofi'i} affix-compound+invent {jvofriti} affix-compound+offer

